text,topic
Информация о сотрудниках «Билайна» утекла в сеть,technology
Покупатели «Билайна» возьмут кредит,technology
Veon договорился о продаже «Билайна» российскому топ-менеджменту за 130 млрд рублей,technology
Базовые станции связи LTE и 5G будут собирать из «конструктора»,technology
МТС зарегистрировала товарный знак на софт,technology
Депутаты предложили упростить доступ интернет-провайдеров в многоквартирные дома,technology
К Ericsson подали первый иск из-за отказа поставить телекомоборудование в Россию,technology
«Билайн» лишился 4 млн абонентов и снизил выручку на 6%,technology
«Мегафон» перестал использовать склады «Связного»,technology
«Ростех» переориентируется c перспективной технологии 5G на привычную LTE,technology
Госкомпаниям велели удвоить расходы на закупку радиоэлектроники и телекомоборудования,technology
Крымские телекомоператоры пятикратно увеличат инвестиции в сети,technology
Тарифы на сотовую связь могут вырасти на 10–15% в 2023 году,technology
«Билайн» спрятал в архив тариф «Связь Z» после начала СВО на Украине,technology
Российским видеоконференциям не угнаться за Zoom,technology
Минцифры предлагает ввести персональную ответственность за утечки данных,technology
Российские компании исключили из альянса по разработке оборудования для 5G,technology
«Сибур» вывел свои IT-разработки на международный рынок,technology
«МойОфис» нашел нового управленца в «Ланите»,technology
Huawei вынужденно переводит сотрудников из России в Казахстан,technology
Параллельный импорт IT-оборудования лихорадит,technology
Инвестиционная «дочка» компании «Ташир» купила разработчика медицинского софта Unim,technology
Доля рынка российского офисного ПО может вырасти с 12 до 82% к 2027 году,technology
Минцифры предложило снять запрет на установку сотовых вышек в вузах,technology
МТС пожаловалась на «Мегафон» в ФАС,technology
МТС хочет продавать аграриям и энергетикам 20 млн умных замков в год,technology
В России зафиксировали рекордное падение продаж новых смартфонов,technology
"Кредиторы и контрагенты «Связного» требуют с сети 14,3 млрд рублей",technology
Телекомоператоры снизили темпы развития мобильных сетей,technology
Сервис «Ренессанс страхования» хочет поучаствовать в развитии телемедицины в России,technology
У «Ростеха» возникли трудности со смартфоном AYYA T2,technology
«Мегафон» и МТС обеспечили работу VoLTE почти во всех регионах России,technology
Российские школьники могут остаться без связи,technology
Роскомнадзор соберет лицензии на частоты телекомоператоров в реестр,technology
Крымский оператор Win Mobile начал продавать сим-карты в Херсоне,technology
Операторам сотовой связи ЛНР и ДНР помогут подключиться к России,technology
Телекомоператоров могут временно освободить от выплат на развитие связи в удаленных районах,technology
Рост цен на сотовую связь может составить порядка 10% к концу 2022 года,technology
«Мегафон» уступил компании Ивана Таврина контроль над сотовыми вышками,technology
«Мегафон» запускает новый тариф с Даней Милохиным,technology
Рынок сотовых вышек дорос до консолидации,technology
Брюс Уиллис стал лицом «Мегафона»,technology
Салонов связи становится меньше,technology
ВТБ может стать участником сделки по приобретению сотовых вышек у «Вымпелкома»,technology
Телефоны с 5G заняли 8% российского рынка смартфонов,technology
В РФ прекратился рост сотовых тарифов,technology
Голосовой ассистент «Тинькофф» Олег стал доступен всем российским сотовым абонентам,technology
«Мегафон» заморозил строительство линии связи вдоль Севморпути,technology
МТС планирует вывод части активов в отдельную компанию,technology
Как «Вымпелком» сотрудников за сверхусилия в 2020 году премировал,technology
«Ренессанс кредит» требует 80 млн у «Мегафона» в суде,technology
Выделенные «Ростелекому» частоты оказались у Tele2,technology
Операторы достают миллиарды из канализации,technology
Минпромторг видит рынок телекомоборудования на 44% российским,technology
«Вымпелком» пригласит виртуальных операторов,technology
В iPhone установят российский софт,technology
МТС может вывести свои сотовые вышки в отдельную компанию,technology
5G может начать работу в столичном метро,technology
МТС приобретает бывшую компанию Леонида Реймана,technology
Xiaomi поделит магазины с МТС,technology
О клиентах «Билайна» позаботится топ-менеджер из «Сбера»,technology
Доступ к данным о местоположении абонентов упростят,technology
«Ростех» формирует консорциум производителей 5G,technology
Количество жалоб на сотовую связь снижается,technology
Операторы заработали на изоляции,technology
Цены на сотовую связь вырастут на 15%,technology
Застройщиков обяжут предусматривать сети связи,technology
«Эр-телеком» уступил лидерство МТС,technology
Грядет битва за 5G,technology
Сотовые компании спустились в тоннели,technology
"«Подключенных вещей станет больше, чем людей»",technology
Сети 5G развернут на существующих частотах,technology
Nokia возглавит проект Hexa-X по разработке сетей 6G,technology
Абоненты «Сбермобайл» и «Тинькофф мобайл» смогут подключиться к сети через приложения банков,technology
МТС запустила на своей сети первую российскую базовую станцию,technology
"У МТС растет выручка, у конкурентов падает",technology
«Вымпелком» нашел способ повысить качество связи,technology
В частотах на 5G отказать,technology
Российские санитарные нормы стали проблемой при развертывании сетей 5G,technology
Компьютерный бум в России продолжается,technology
Подключить сотовую связь теперь можно на «Госуслугах»,technology
OneWeb останется в России,technology
Российские операторы могут лишиться возможности строить сети 5G,technology
В России выросла продолжительность разговоров по мобильным телефонам,technology
«Мегафон» столкнулся с дефицитом виртуальных sim-карт,technology
"Samsung подписала контракт с Verizon на $6,6 млрд на построение сетей 5G в США",technology
В России бум продаж смартфонов с электронными сим-картами,technology
Instagram-блогер создаст виртуального сотового оператора для подписчиков,technology
"Часть абонентов, приехавших в Крым из других регионов, не пользуются сотовой связью",technology
Tele2 запустила 5G в роуминге,technology
В Россию начали проникать смартфоны с поддержкой 5G,technology
Samsung вернул себе первое место в России по продажам смартфонов,technology
«Билайн» и «Мегафон» начали предлагать виртуальные сим-карты,technology
Доходы шведских компаний превзошли все ожидания,technology
Как сотовые операторы зарабатывают на данных об абонентах,technology
«Мегафон» начал строить сеть связи в Арктике,technology
«Связной» запускает новый торговый формат,technology
ФАС возбудила дело против Tele2 из-за повышения цен во время пандемии,technology
Минкомсвязи намерено урезать бюджет на беспроводной интернет в деревнях,technology
Российский рынок смартфонов вернулся к росту,technology
Samsung вернул себе 2-е место по продажам смартфонов в России,technology
В России вырос спрос на мобильную телефонию,technology
«Магнит» ведет переговоры с Tele2 о запуске виртуального оператора,technology
«Тинькофф мобайл» вернул абонентам бесплатный доступ к Telegram,technology
"Потребление мобильного интернета в России выросло в 1,5 раза",technology
Покрытие сотовой связью трассы М-11 улучшилось,technology
«Акадо» вышла из-под американских санкций,technology
МТС предложила абонентам виртуальные телефонные номера,technology
Российские ученые оценят опасность излучения 5G на крысах,technology
В России может закрыться до 30% салонов связи,technology
Россиян массово обучат пользоваться нейросетями,technology
При правительстве собрали научный совет по вопросам дронов,technology
Российский рынок беспилотников вырос более чем вдвое,technology
«Геоскан» откроет пять центров по обучению операторов дронов,technology
МВД привлечет нейросети к поиску правонарушителей,technology
Почему сроки лунной миссии НАСА сдвинули на год,technology
Москвичам раздадут тонометры и глюкометры для дистанционного наблюдения,technology
Разум из машины: искусственный интеллект стал феноменом года в сфере технологий,technology
В Самарской области запустили завод по производству гражданских беспилотников,technology
В России через три года может появиться свой аналог Starlink,technology
Минпромторг создаст структуру для регулирования отрасли беспилотников,technology
В России вырос спрос на экспертизу антидронных решений,technology
О каких угрозах ИИ предупредил Владимир Путин,technology
Петербург установил 20 000 видеокамер с искусственным интеллектом,technology
В России появится первый отечественный платежный терминал,technology
Для российского аналога Microsoft Office нашли ИИ в Сбербанке,technology
Разработчики беспилотников могут получить 30 млрд рублей грантов,technology
«Почта России» отказалась от проекта с роботами-доставщиками «Яндекса»,technology
ICL открыла завод по производству печатных плат,technology
На реновацию Центра подготовки космонавтов выделят более 5 млрд рублей,technology
«Сбер» запретил ИИ Kandinsky генерировать государственную символику,technology
«Почта России» сэкономит на заморозке проекта беспилотной доставки грузов,technology
Российские производители светодиодов проигрывают в борьбе с импортом,technology
Единый оператор по управлению дронами в России получил частоты,technology
«Роскосмос» может начать размещать рекламу на космических кораблях,technology
Для беспилотников появится центр по импортозамещению софта,technology
Путин поручил заняться приземлением сетевых компьютерных игр,technology
Внедрение искусственного интеллекта начнут с федеральных министерств,technology
Минпромторг предложил продлить упрощенный ввоз электроники из-за рубежа,technology
Для разработчиков дронов придумали технологические конкурсы,technology
«Роскосмос» хочет продавать спутниковые снимки Земли органам власти,technology
До 2030 года в России может быть создано 10 новых суперкомпьютеров,technology
Многие IT-разработчики не увидели эффекта от индустриальных центров компетенций,technology
Производство оптоволокна нуждается в господдержке,technology
Дронам дали дополнительный частотный ресурс,technology
Гражданам и компаниям могут разрешить подавлять беспилотники,technology
Минкультуры оснастит музеи системой умного дома и искусственным интеллектом,technology
"Региональные центры разработки дронов появятся в Петербурге, Томске и Самаре",technology
Росстат хочет использовать спутниковые технологии для сбора статистики,technology
МТС создаст собственные базовые станции 4G и 5G,technology
На развитие беспилотной авиации в России хотят потратить почти триллион рублей,technology
Сбербанк стал совладельцем еще одной медицинской сети,technology
Минцифры займется защитой спутникового ТВ-сигнала,technology
В США уличили Huawei в обходе американских санкций с помощью «секретной сети»,technology
"Индия стала четвертой страной, посадившей на Луну свой аппарат",technology
На завод японской фармкомпании Takeda в Ярославле появился первый претендент,technology
Банковские и сим-карты обяжут производить в России с 2025–2026 годов,technology
На запуск серийного производства беспилотников в России потратят почти 270 млрд рублей,technology
Минтранс подключит «дочку» «Газпром нефти» к беспилотным грузоперевозкам,technology
Россия запустила к Луне межпланетную автоматическую станцию «Луна-25»,technology
Минцифры включило в реестр софта первый комплекс для работы с большими данными,technology
Экс-глава МАК Татьяна Анодина взялась за беспилотники,technology
Минпромторг подбирает химию для микроэлектроники,technology
Американские писатели выступили против использования их книг для обучения нейросетей,technology
Американские производители чипов опасаются новых ограничений против Китая,technology
Российские компании начали замещать иностранных производителей протезов ног,technology
РЖД достроит магистральную квантовую сеть до Казани и Ростова-на-Дону,technology
«Инфотекс» запустит производство оборудования для криптографической защиты каналов связи,technology
Минобрнауки хочет потратить 49 млрд рублей на создание новейших решений для дронов,technology
США готовятся ужесточить запрет на экспорт чипов для систем ИИ в Китай,technology
Как будет развиваться беспилотная авиация в России,technology
Как прошел запуск первого разведывательного спутника Северной Кореи,technology
К научному сотрудничеству с Россией в сфере ядерных исследований присоединились КНР и Мексика,technology
«Большинство наших партнеров гораздо мудрее политиков»,technology
Китай может ввести эмбарго на чипы американской Micron,technology
Электронно-промышленный комплекс,technology
Купить молодость всего за $2 млн в год,technology
Нидерланды и Япония готовы отрезать Китай от современного оборудования для полупроводников,technology
«Роскосмос» предложил ввести мораторий на сокращения бюджетов критически важных проектов,technology
В «Роскосмосе» объяснили увеличение финансирования проекта «Сфера»,technology
Правительство увеличило финансирование проекта «Сфера» и сократило расходы на «Глонасс»,technology
"Ограничения США на экспорт чипов Nvidia и AMD скажутся на «Яндексе», VK и «Сбере»",technology
РЖД предложила создать стандарты квантовых технологий,technology
Россия поднялась на девятую строчку в мировом рейтинге суперкомпьютеров,technology
"Ученые выявили участки генома, определяющие уязвимость к коронавирусу",technology
Как Relativity Space печатает ракеты на 3D-принтере,technology
Сервер запустят в космос,technology
Создание квантовых сенсоров в России может быть заморожено,technology
Как Moderna стала лидером в создании вакцины от коронавируса,technology
Интервью руководителя департамента информационных технологий Москвы Эдуарда Лысенко «Ведомостям». Главное,technology
«Московские власти не следят за жителями»,technology
Корабль Crew Dragon пристыковался к Международной космической станции,technology
SpaceX запустила к МКС корабль Crew Dragon с астронавтами,technology
SpaceX Илона Маска вот-вот отправит астронавтов в космос,technology
За что Илона Маска назвали ковидиотом № 1,technology
«Роснефть» организует в МГУ магистратуру по геномике человека,technology
«Медси» будет следить за пациентами через камеры,technology
«Дочка» АФК «Система» разработала экспресс-тест на коронавирус,technology
Катерина Тихонова возглавила Институт искусственного интеллекта МГУ,technology
«Медси» создала цифровую платформу для мониторинга здоровья,technology
Бывший замминистра связи соберет 10 000 электромобилей для UPS,technology
"Только треть россиян знают, что такое искусственный интеллект",technology
Российский квантовый центр и автопроизводитель Nissan поработают над квантами,technology
Американский инвестфонд купил основанного россиянами IT-разработчика за $5 млрд,technology
Правительство обсуждает переход «Т-платформ» под контроль государства,technology
Миссия корабля Starliner осталась недовыполненной,technology
«Яндекс» будет сам производить датчики для беспилотников,technology
Как виртуальная реальность меняет мир,technology
Сбербанк объявил о создании компании для развития беспилотников,technology
Суд разрешил властям следить за людьми через системы распознавания лиц,technology
В Москве началось строительство научно-технологической долины МГУ,technology
«Яндекс» начал тестирование робота-курьера на колесах,technology
«Росатом» заявил о планах создать квантовый компьютер за 24 млрд рублей,technology
Российская «Байкал электроникс» представила новый процессор,technology
Илон Маск выступил на краснодарском бизнес-форуме по видеосвязи,technology
За что присудили Нобелевские премии в 2019 году,technology
На сквозные технологии в России нужны сотни миллиардов рублей,technology
"Как Томас Риардон создает гаджеты, управляемые силой мысли",technology
Илон Маск представил прототип ракеты для полетов на Марс,technology
Финансами «Роскосмоса» будет заведовать бывший заместитель Лужкова,technology
Беспилотники «Яндекса» проехали 1 млн км,technology
"Бывший министр связи потребовал 6,5 млрд рублей с заводов, которыми сам управлял",technology
Корабль с роботом «Федором» на борту не смог пристыковаться к МКС,technology
"Дмитрий Полищук, «Яндекс»: «Tesla называет свой режим автопилотом, но это маркетинговое лукавство»",technology
Западные страны начинают применять технологию распознавания лиц,technology
S7 раскрыла экономический эффект от блокчейна,technology
Как будет выглядеть электронный паспорт россиянина,technology
Программа-шпион научилась читать секретные чаты на устройствах с iOS,technology
Ричард Брэнсон пытается опередить Джеффа Безоса и Илона Маска,technology
«Ростех» вложит с партнерами 5 млрд рублей в стартапы,technology
Садовничий назвал расходы на создание «долины МГУ»,technology
"«Свобода – это хорошо, но это только один из компонентов»",technology
«Дочка» ВЭБа займется венчурными инвестициями,technology
«Ростелеком» купил разработчика систем безопасного города «Коркласс»,technology
Американские студенты запустили в космос собственную ракету,technology
Искусственный интеллект обойдется в 90 млрд рублей,technology
Москва станет центром экспериментов с искусственным интеллектом,technology
Искусственному интеллекту нужны налоговые льготы,technology
В России появился телефон с квантовым шифрованием,technology
Правительство выделит банкротящемуся «Ангстрем-Т» почти 21 млрд рублей,technology
Суд продлил арест гендиректора «Т-платформ» еще на два месяца,technology
«Глонасс» предложила правительству свою систему для хранения данных об автомобилях,technology
РФПИ одобрил инвестиции в разработчика систем распознавания лиц VisionLabs,technology
Акимов попросил Путина помочь с расчисткой частот для 5G,technology
Игорь Ротенберг и «Ростех» займутся интернетом вещей,technology
«Яндекс» рассказал о вреде оборудования для суверенного интернета,technology
Венчурный фонд МТС вложит 1 млрд рублей в стартапы,technology
Суд отказался перевести гендиректора «Т-платформ» под домашний арест,technology
"Как работает единственное в России предприятие, которое делает снаряжение для космонавтов",technology
Арестован директор поставщика компьютеров МВД,technology
Ракета для полетов на Луну может обойтись России в 740 млрд рублей,technology
«Роскосмос» возобновляет туристическую программу на МКС,technology
Госорганам станет сложнее закупать иностранную электронику и оборудование,technology
«Яндекс» и «дочка» Hyundai разработают систему управления беспилотниками,technology
Космический корабль SpaceX пристыковался к МКС,technology
Компания Илона Маска запустила к МКС космический корабль Crew Dragon. Фотографии,technology
SpaceX запустила к МКС новейший корабль с манекеном на борту,technology
«Роскосмос» построит в Москве Национальный космический центр,technology
Минкомсвязи определило меры поддержки сквозных технологий,technology
У Tesla могут появиться российские инвесторы,technology
Почему израильский луноход не появился бы без миллиардера Морриса Кана,technology
Как осваивали Луну: от СССР до Китая,technology
РВК и Da Vinci Capital создают фонд для стартапов на 6 млрд рублей,technology
«Ангстрем-Т» перешел под контроль «ВЭБ.РФ»,technology
Земля получила первую фотографию обратной стороны Луны с близкого расстояния,technology
Крупные страховые выплаты за неудачные запуски ракет,technology
Венчурные инвестиции в России должны вырасти в десять раз к 2030 году,technology
ВЭБ намерен обанкротить завод бывшего министра связи Реймана,technology
Космический корабль Virgin Galactic впервые полетит к границе с космосом,technology
Робот Вера привлекла деньги на международную экспансию,technology
Россия возобновила пилотируемые запуски после октябрьской аварии «Союза МС-10»,technology
«Роскосмос» отправил космонавтов на МКС впервые после аварии «Союза»,technology
