text,topic
В Минфине назвали варианты донастройки механизма налогообложения нефти,economy
На ЕНС накопился 1 трлн рублей переплат от налогоплательщиков за несколько лет,economy
В правительстве опасаются продлевать беспошлинный порог ввоза в 1000 евро,economy
Власти хотят заменить пошлину на удобрения другим видом сбора,economy
Для венчурных инвесторов подбирают налоговые льготы,economy
Минюст счел налог на сверхприбыль прошлых лет «противоречащим Конституции»,economy
Власти предложили новый механизм сбора налогов с купонных доходов,economy
Эксперты оценили разрешение на продажу алкоголя пассажирам внутренних авиарейсов,economy
Эксперты предложили снизить взносы для работодателей с программами здоровья,economy
Малый бизнес заплатил в бюджетную систему почти 5 трлн рублей в 2022 году,economy
Глава ФНС сообщил об открытии ЕНС во всех личных кабинетах физлиц,economy
Бизнес просит Минфин пересмотреть подход к расчету базы налога на сверхприбыль,economy
Переехавшим за границу разрешат платить НДФЛ по общей ставке,economy
Судовладельцы предупредили о возможном росте цен на рыбу после изменения Таможенного кодекса,economy
"Россияне получили налоговые вычеты на сумму 2,7 трлн рублей в 2022 году",economy
Параллельный импорт выведут из-под двойного налогообложения,economy
Уплату налогов за самозанятых хотят передать онлайн-платформам,economy
Минфин утвердил финальную версию законопроекта о налоге на сверхприбыль,economy
Ведение единого реестра цифровых платформ может быть поручено ФНС,economy
Налоговики проверяют доходы блогеров с большим количеством подписчиков,economy
Минфин хочет обложить НДФЛ блогеров на YouTube и в Instagram,economy
Как будут платить налоги работающие за границей фрилансеры,economy
Малый бизнес предложил Минфину поднять порог по УСН и обнулить НДС для «человекоемких» отраслей,economy
Правительство согласовало скидку Urals к Brent при расчете налогов,economy
В ЕС решили с 2024 года повысить ставки в низконалоговых юрисдикциях,economy
Сборы НДД помогли нефтегазовым доходам бюджета подрасти,economy
От Витте к Силуанову: от золотого стандарта к бюджетному спокойствию,economy
Минфин предложил масштабные поправки в Налоговый кодекс. Что они поменяют?,economy
ФНС пообещала не наказывать за трудоустройство сотрудников в аффилированную IT-компанию,economy
Бизнес прогнозирует рост цен на услуги туроператоров из-за обнуления НДС для отельеров,economy
Латвия приостановила действие налогового соглашения с Россией,economy
Россияне не могут заплатить налоги с доходов от зарубежной собственности,economy
Как поможет бизнесу президентская отсрочка по страховым взносам,economy
Правительство может отменить контроль налоговиков за экспортными ценами на удобрения,economy
ФНС ответила на опасения бизнеса о блокировке активов при проверках,economy
Сборы подоходного налога показали взрывной рост в январе,economy
Предпринимателей избавят от НДС при сделках с интеллектуальной собственностью,economy
ФНС выявила злоупотребления у инспекторов при вызовах налогоплательщиков,economy
Бизнес будет платить все налоги по-новому с 2023 года,economy
Крупный бизнес попросил у Мишустина защиты от последствий глобальной налоговой реформы,economy
Россия будет платить налог в 5% с глобально признанных климатических проектов,economy
Правительство устранит риск подорожания медицинских товаров,economy
Бизнес попросил защиты при «встречах» с налоговиками,economy
ФНС назвала способ полного обеления экономики,economy
«Агрессивные белорусские схемы оптимизации надо пресекать»,economy
ФНС создаст соцсеть для обмена налоговой тайной,economy
Налоговиков обязали отозвать штрафы за невозврат валютной выручки,economy
Малый бизнес получит новый налоговый режим,economy
В правительстве готовят российский вариант углеродного сбора ЕС,economy
"Власти переформатируют налог и на добычу, и на прибыль",economy
В Минфине увидели риски для бизнеса из-за глобальной налоговой реформы,economy
Россия предложила Швейцарии отменить льготы по дивидендам из России,economy
Минфин сравнил глобальную реформу налогообложения с полетом человека в космос,economy
Минфин предложил смягчить удар от разрыва налогового соглашения с Нидерландами,economy
Таможня стала повышать цену импорта на сумму дивидендов его получателей,economy
Ритейлеры попросили расширить льготы за продажу подержанной техники,economy
У лидирующих регионов отнимут часть налогов на прибыль и на труд,economy
Правительство обсуждает повышение налогов на 400 млрд,economy
"Кто должен платить за соцзащиту самозанятых, сотрудничающих с интернет-платформами",economy
Верховный суд поддержал налоговиков в важном для формирования практики споре,economy
ОЭСР обеспокоилась российскими льготами по НДС,economy
Финансовым компаниям придется сообщать данные о клиентах налоговикам,economy
Следственный комитет хочет ужесточить ответственность за налоговые нарушения,economy
Налоговая служба будет выдавать электронные цифровые подписи,economy
IT-бизнес начинает налоговый маневр,economy
ФНС и Минфин разъяснили тонкости применения льгот в IT-отрасли,economy
Депутаты Госдумы предложили отдавать часть поступлений НДС в регионы,economy
"Налоговая служба расширила перечень зарубежных активов, о которых необходимо отчитываться",economy
Получение налогового вычета упростят для инвесторов и покупателей недвижимости,economy
Правительство планирует вернуть налог на движимое имущество,economy
Законопроект о налогообложении криптовалют внесен в Госдуму,economy
Коронавирус простимулировал страхование жизни,economy
Россия не торопится делить налоги с другими странами,economy
Налоговый кодекс адаптируют к кризису,economy
Налоговики отменяют старые ликвидации и банкротства компаний,economy
Минфин планирует отменить НДС на золото,economy
Депутаты предложили освободить от НДС российских интернет-продавцов,economy
Правительство модернизирует налоговый вычет для компаний,economy
ФНС должна будет предупреждать о возможной блокировке счета,economy
Владельцам КИКов готовят кнут и пряник,economy
Налоговые поступления увеличат без потрясений,economy
Предприниматели смогут погасить налоговые долги прямо в зале суда,economy
Госдума одобрила повышение налогов для добывающих компаний,economy
«Вычет должен быть как кэшбэк»,economy
Импорт от налогов не уйдет,economy
Регионы использовали потенциал поддержки бизнеса по максимуму,economy
Бизнесу предлагают уплачивать налоги единым платежом,economy
ФНС разъяснила порядок уплаты налога на доходы с банковских вкладов,economy
Договор с Кипром оставляет пространство для налоговых маневров,economy
Систему tax free расширят на всю страну,economy
Углеродное самообложение,economy
Налог на секонд-хенд,economy
В Госдуме предложили отменить налоговый маневр в нефтянке,economy
Белорусы могут стать самозанятыми в России,economy
В Госдуме предложили продлить действие ЕНВД до 2025 года,economy
Минфин упростил порядок получения налогового резидентства,economy
Количество самозанятых увеличилось на порядок,economy
Налоговики наверстывают карантинный простой,economy
Составлен рейтинг доброжелательности налоговых инспекций,economy
Кипр по двойному тарифу,economy
Правительство подготовило новые сложности бизнесу,economy
Ошибки в налоговой декларации обойдутся дорого,economy
Мишустин отменит любимый налог малых компаний,economy
Власти могут увеличить штрафы за нарушения при взыскании долгов,economy
Торгово-промышленная палата предложила меры по поддержке малого бизнеса,economy
Редко пользующихся автомобилями россиян могут освободить от транспортного налога,economy
Власти снизят налоговую нагрузку для IT-компаний за счет региональных бюджетов,economy
Правительство согласилось освободить программное обеспечение от НДС,economy
Россияне хотят реже ездить на работу,economy
«Вмененка» для олигархов,economy
Россия готовится разорвать налоговое соглашение с Мальтой,economy
Реформа НДФЛ не уменьшит имущественное неравенство и не увеличит справедливость,economy
Путин предложил поднять ставку НДФЛ до 15% для россиян с высоким доходом,economy
Европа пригрозила вскоре ввести налог на выручку цифровых гигантов,economy
За апрель бюджет не получил около 775 млрд рублей налогов,economy
«Единая Россия» просит освободить часть бизнеса от налогов и страховых взносов,economy
Изоляция из-за коронавируса не должна влиять на налоговое резидентство,economy
Эффект от обещанного Путиным снижения социальных взносов почувствуют не все,economy
Как скорректировать пакет антикризисных фискальных мер,economy
Бизнес не спешит реагировать на возможный рост налога на зарубежные дивиденды,economy
Россия предложила Мальте и Люксембургу изменить налоговые соглашения,economy
"Что делать бизнесу, платящему дивиденды или проценты компании на Кипре",economy
РСПП предложил расширить налоговые льготы для бизнеса на период борьбы с вирусом,economy
На налоговые отсрочки и рассрочки смогут претендовать единицы,economy
Как антикризисное снижение страховых взносов повлияет на пенсионную систему,economy
Госбанки будут выдавать короткие кредиты бизнесу для выплаты зарплат,economy
Государство заработает на выводе денег за рубеж,economy
Налоговая служба откажется от выездных проверок из-за эпидемии коронавируса,economy
Эксперты предложили разработать российский налог с «цифровой» выручки,economy
Путин поручил проверить эффективность налоговых льгот,economy
ФНС предложит бизнесу электронный кошелек для оплаты налоговых долгов,economy
Регионы недостаточно пользуются налоговыми льготами,economy
Гильотиной отсекли часть российских актов,economy
Суды поспорили с Минфином по одному из принципиальных для бизнеса налоговых вопросов,economy
Суд согласился не пересчитывать налоги по оспоренным налоговиками сделкам,economy
В Минфине может смениться куратор налоговой политики,economy
"Ключевое – не собрать больше налогов, а обелить рынок. Новый глава ФНС о целях налоговиков",economy
ВЭБ хочет передать оборудование «Ангстрем-Т» государству,economy
Компании не могут рассчитывать на пересчет всех налогов по оспоренным сделкам,economy
Налог на доходы малоимущих может быть отменен,economy
Дети должников могут столкнуться с финансовыми рисками из-за подарков от родителей,economy
Доходы бюджета можно было увеличить без повышения НДС и пенсионного возраста,economy
Правительство обсуждает снижение порога беспошлинных посылок из-за рубежа,economy
Путин одобрил смягчение налоговых рисков для бизнеса,economy
Цифровой налог сеет международный раздор,economy
"Верховный суд разъяснил, как считать сроки давности по налоговым преступлениям",economy
Правительство поможет регионам снизить долговую нагрузку,economy
Налоговики хотят забирать подарки детям за долги родителей,economy
Кандидаты в президенты США хотят ввести налог на богатство,economy
Greenpeace просит Минприроды запретить одноразовый пластик,economy
Бизнесмены амнистировали активы на 35 млрд евро,economy
К нерешенным проблемам мусорных операторов добавились новые,economy
Налоговый режим для самозанятых распространят на всю Россию летом 2020 года,economy
Бизнесу удалось избежать роста налоговой нагрузки на зарубежные активы,economy
Налоговый режим для самозанятых могут распространить еще на 19 регионов,economy
Минфин избавит бизнес от грозившего роста налоговой нагрузки,economy
Судья незаконно подтвердил право ФСБ изымать декларацию об амнистии,economy
Кремль: действия ФСБ не противоречат условиям амнистии капитала,economy
Верховный суд разрешил ФСБ изымать декларации об амнистии капитала,economy
Минфин пообещал защитить бизнес от роста налоговой нагрузки на имущество,economy
На клиентов онлайн-банков открыли охоту стилеры,technology
Компании стали чаще скрывать утечки персональных данных,technology
Минцифры с МВД и Роскомнадзором определят наказание за дипфейки,technology
Доля RuStore среди магазинов приложений заметно выросла,technology
Крупнейшие сбои в глобальной сети за последние 15 лет,technology
Подделки RuStore заполонили магазин приложений Xiaomi,technology
В России в 2023 году «спиратили» игр на 324 млрд рублей,technology
Московскую биометрию выделяют в отдельную систему,technology
Роскомнадзор в 2023 году заблокировал более 558 000 сайтов и интернет-страниц,technology
Злоумышленники атакуют банки миллионами эсэмэсок,technology
ФАС признала доминирующее положение Wildberries и Ozon на рынке маркетплейсов,technology
Минцифры предложило закрепить за маркетплейсами роль информационного посредника,technology
Две трети входящих писем в корпоративных почтах отправлены мошенниками,technology
Затраты геймеров в России на компьютерные игры в 2023 году выросли,technology
В рунете нашли DDoS-атаки продолжительностью почти в два года,technology
Число публикаций с детской порнографией в интернете начало сокращаться,technology
В рунете резко выросло число блокировок сайтов за публикации о наркотиках,technology
Roblox стал самой скачиваемой мобильной игрой в России в 2023 году,technology
Самым скачиваемым в России в 2023 году стало приложение Wildberries,technology
Объем утечек данных в новогодние праздники вырос на 10%,technology
Хакеры освоили шантаж рассылкой интимных фото по списку контактов,technology
В России появился еще один отечественный аналог Tinder,technology
Роскомнадзору могут расширить полномочия для контроля утечек данных,technology
Вклад интернета в экономику России вырос на треть в 2023 году,technology
«Билайн» первым из операторов разработал приложение под «Аврору»,technology
На «Гостех» переведут региональные и внутренние информсистемы ведомств,technology
Подмосковные пригородные электрички отключили от интернета,technology
Законопроект об отмене «телекомрабства» заморозили до весны,technology
Утечки персональных данных вносят в УК и КоАП,technology
Минцифры предусмотрело два варианта для обезличивания персональных данных,technology
В зоне .ru зафиксировали бум регистраций новых доменных имен,technology
Почти треть чиновников в регионах используют личные электронные адреса,technology
Конференция Tinkoff eCommerce 2023: онлайн,technology
Более 80% фишинговых рассылок содержат софт из даркнета,technology
ФАС возбудила дело в отношении «Яндекса» за подписку,technology
Минцифры предложило вносить больше данных юрлиц в «Госуслуги»,technology
На аптечных сайтах фиксируется аномальный рост грязного трафика,technology
Для студентов в новых регионах создали электронные зачетки и ведомости,technology
Почти половина DDoS-атак в III квартале проведена из России,technology
Трафик в Telegram вырос на десятки процентов за год,technology
В Минэке назвали риски инфраструктурного платежа «Почте России»,technology
Минэк раскритиковал идею приоритета российских товаров на маркетплейсах,technology
Опубликованы критерии по выбору оператора для реестра провайдеров хостинга,technology
Суд признал банкротом российскую «дочку» Google,technology
До 30% персональных данных утекает по вине сотрудников,technology
«Ростелеком» закупит 800 000 российских роутеров у «Электры»,technology
Раскрытие алгоритмов ИИ может увеличить число манипуляций поисковой выдачей,technology
Роскомнадзор объяснил заявление сенатора Шейкина о блокировке VPN-сервисов,technology
Крупные онлайн-площадки начали раскрывать свои рекомендательные алгоритмы,technology
«Цифровая экономика» предложила создать оператора для лицензирования ПО,technology
Защищены ли аэропорты от DDoS-атак,technology
В правительстве одобрили компенсации жертвам утечек данных,technology
На игры и внутриигровые товары с начала года потратили 135 млрд рублей,technology
"В Госдуме видят от блокировки YouTube больше вреда, чем пользы",technology
Роскомнадзор соберет хостинги в реестр,technology
Мошенники замаскировались под Следственный комитет,technology
Бизнес получит платный доступ к информации из госсистем,technology
Россия вошла в топ-10 стран по количеству DDoS-атак,technology
Число трекеров для сбора данных об интернет-пользователях выросло почти на 20%,technology
Telegram вошел в топ-3 сервисов по объему трафика в России,technology
«VK Знакомства» пока не стали заменой ушедшему Tinder,technology
ФГУП Роскомнадзора потратит 160 млн рублей на защиту инфраструктуры после кибератаки,technology
Более половины россиян столкнулись с мошенничеством в интернете с начала года,technology
Роскомнадзор проверит защищенность iPhone и iPad,technology
После ухода Badoo и Tinder самым скачиваемым дейтинговым сервисом в России стала Mamba,technology
Минцифры и комитет по информполитике Госдумы не договорились о компенсациях за утечки данных,technology
В рунете могут запретить регистрироваться на сайтах с иностранной электронной почты,technology
Минцифры начнет переводить «Госуслуги» в новые формы,technology
Онлайн-сервисы обяжут предупреждать клиента о каждом списании денег за подписку,technology
В Москве разработали мобильное приложение «Мой ID» для хранения цифровых копий документов,technology
Аудитория ChatGPT и Midjourney в России снизилась впервые с момента запуска,technology
Желающих покупать алкоголь в интернете стало меньше,technology
За DDoS-атакой на РЖД стоят проукраинские злоумышленники,technology
Минцифры определит стандарт персональных данных для искусственного интеллекта,technology
Александр Хинштейн: «Безопасность – это всегда дорогое удовольствие»,technology
Национальные сертификаты безопасности сайтов используют только 30% россиян,technology
Мосгорсуд рассмотрит дело обвиняемых в хакерских атаках на Сбербанк и ВТБ,technology
Эффективность цифровой трансформации в ведомствах проверят по госпабликам,technology
Госсервисы в сферах здравоохранения и спорта соберут в отдельные домены,technology
В Госдуме опять просят Роскомнадзор разблокировать Twitter,technology
На российскую ОС «Аврора» смогли поставить клиент Telegram,technology
В Telegram кратно выросло количество фишинговых схем кражи данных,technology
Роскомнадзор может получить право блокировки рекомендательных сервисов,technology
Перевод реестра госуслуг на «Гостех» отложат на год,technology
"ЦБ разработал законопроект, упрощающий оборот материалов с банковской тайной",technology
Что изменит для пользователей признание незаконным использование даркнета,technology
Приложения банков и сервисы Google оказались доступны в магазинах Huawei и Samsung,technology
Как российские чиновники хотят применять искусственный интеллект в будущем,technology
Минцифры заказало разработку российского сегмента единой информсистемы для ЕАЭС,technology
В ДНР и ЛНР возникли проблемы с YouTube,technology
Российский разработчик «Мойофис» представил аналог Microsoft Teams,technology
Новые регионы России начали отображать в навигационном сервисе,technology
Аудитория онлайн-школ гадания таро и магии выросла за год почти в 20 раз,technology
Законопроект о белых хакерах вызвал вопросы у силовиков,technology
Возрастную маркировку видеоигр предложили оставить за разработчиками,technology
Кибермошенники начали зарабатывать на популярности ChatGPT,technology
Отключение старых версий приложения «Сбера» может коснуться 5-10 млн клиентов,technology
Перспективы платежной системы Twitter в России ограничит низкая популярность соцсети,technology
Минцифры будет проверять защищенность «Госуслуг» сразу на двух площадках,technology
Сервисы VK удалены из App Store,technology
VK разрабатывает свой аналог Steam для России и СНГ,technology
«Яндекс» обменял медийные активы на доставку еды,technology
Блогерские агентства предлагается приравнять к IT–компаниям,technology
Четверть киберспортивных клубов России перешли на отечественное ПО,technology
Юристы и участники IT-отрасли создают законопроект о регулировании онлайн-игр в России,technology
Магазин приложений NashStore перестал загружаться в первый же день,technology
Роскомнадзор приступил к санкциям против Google,technology
Telegram обошел Whatsapp по объему трафика в России,technology
Депутаты планируют защитить пользователей от ненужных платных интернет-подписок,technology
"Роскомнадзор заявил о гибридной войне против России, включающей в себя кибератаки",technology
На смену живым программистам идет искусственный интеллект,technology
Алексей Гореславский возглавил правление РОЦИТа,technology
Фиксированный доступ в интернет начал дорожать,technology
Минцифры отказалось от фильтра интернет-трафика для детей,technology
"Продажи игрушек по мотивам видеоигр выросли почти в 3,5 раза",technology
«Яндекс.Дзен» начинает проверку фейков,technology
Минкомсвязи определилось с требованиями к социально значимым сайтам,technology
Facebook больше не самая дорогая соцсеть,technology
Акции облачных сервисов подорожали вдвое во время пандемии,technology
Что предлагает онлайн-сервис знакомств Tinder в пандемию,technology
Twitter будет зарабатывать деньги на подписке,technology
TikTok намерен прекратить работу в Гонконге,technology
Кто крадет корпоративные секреты,technology
На рекламном рынке России сменился лидер,technology
Рекламодатели бойкотируют Facebook,technology
В России создают альтернативу Zoom,technology
«Ростелеком» предложит геймерам искусственный интеллект,technology
Группа российских хакеров могла годами распространять дезинформацию,technology
Телеканалы представили «доступные» версии интернет-сайтов,technology
Евросоюз готовит масштабную реформу регулирования онлайн-платформ,technology
Владельцев криптовалют смогут привлечь к уголовной ответственности,technology
Сервис проверки электронного пропуска может рассылать рекламу,technology
В открытом доступе оказалась база данных российских автовладельцев,technology
База авторов «Живого журнала» оказалась в открытом доступе,technology
Норвежский конкурент Zoom планирует IPO,technology
Пандемия может увеличить влияние технологических гигантов,technology
Основатели IBS делят бизнес,technology
Минкомсвязи утвердило список социально значимых сайтов с бесплатным доступом,technology
Zoom раскрывает личные адреса и телефоны пользователей «Яндекса»,technology
«Яндекс» инвестирует $40 млн в приложения на искусственном интеллекте,technology
Отправленные на удаленную работу москвичи занимаются личными делами,technology
Москвичи стали массово подключаться к домашнему интернету,technology
Из-за эпидемии коронавируса москвичи стали больше пользоваться домашним интернетом,technology
Бесплатный интернет будет узаконен,technology
«Связной» открыл магазины для геймеров,technology
Власти и технологические гиганты борются с фейками о коронавирусе,technology
«С системой OneWeb в России не останется мест без широкополосного интернета»,technology
«Максима телеком» и «Эр-телеком» договорились о развитии WiFi в регионах,technology
Фильм Дудя спровоцировал рост спроса на тесты на ВИЧ,technology
«Яндекс» почувствовал кризис на рекламном рынке,technology
Суд оштрафовал Twitter и Facebook за отказ перенести данные в Россию,technology
"Facebook заявил, что предотвратил операцию российской разведки против Украины",technology
«Ростелеком» выбрал поставщиков планшетов для переписи населения,technology
Как создатели Spotify стали миллиардерами благодаря музыкальным пиратам,technology
ВТБ предпочитает серверы американской Dell,technology
Viber нашел в России директора по глобальному развитию,technology
Правительство начнет цифровую трансформацию с себя,technology
Роскомнадзор возбудил административное дело против Facebook и Twitter,technology
Книжные издательства теряют больше 55 млрд рублей на пиратстве в Telegram,technology
Сенаторы предложили подключать услуги связи через интернет,technology
Мэрия Москвы выбрала технологии для системы поиска и распознавания лиц,technology
Facebook раскрыл данные о «слежке» за пользователями,technology
Духовно-нравственные ценности станут обязательными для предустановки на гаджеты,technology
Почему люди глупеют и как с этим бороться,technology
SEC и Telegram выступили с официальными возражениями друг против друга,technology
Следствие убедило суд оставить под стражей гендиректора «Т-платформ»,technology
В судебный спор SEC и Telegram вмешалось блокчейн-сообщество,technology
«Ростелеком» приобретет долю в подразделении ФРИИ за 2 млрд рублей,technology
SEC и Telegram обнародовали правовые позиции,technology
Рыночная капитализация Alphabet достигла $1 трлн,technology
Путин обещал бесплатный доступ к социально значимым интернет-сервисам,technology
Суд не выдал SEC информацию о банковских операциях Telegram,technology
Как биометрия может помочь онлайн-ритейлерам,technology
Закон года. Почему интернет в России не станет суверенным,technology
Как правительства разных стран регулируют интернет-компании,technology
Владелец PickPoint выкупит у Qiwi сеть постаматов,technology
Минкомсвязи подвело итоги первых учений по закону о «суверенном рунете»,technology
"Греф надеется, что конфликт между Rambler и Nginx будет урегулирован без суда",technology
Названа дата первого отключения интернета,technology
Минкомсвязи назвало дату тестирования «суверенного рунета» по всей России,technology
Будет ли закрыто уголовное дело против Nginx? Мнения юристов,technology
Что россияне искали в Google в 2019 году,technology
Rambler предъявил права на веб-сервер Nginx,technology
Российские компании подписали кодекс этики использования данных,technology
"«Тинькофф» поставил «шах и мат» Сбербанку, «Яндексу» и Mail.ru Group",technology
«Тинькофф» объединил все сервисы в одном окне,technology
Group-IB рассказала о способе перехвата переписки в Telegram,technology
Греф предложил ужесточить законопроект об электронной подписи,technology
«Эксмо» подало в суд на Mail.ru Group из-за пиратства,technology
Операторы связи не хотят отдавать телехолдингам своих абонентов,technology
"Михаил Жуков: «Через HeadHunter нанимают и уборщицу, и гендиректора»",technology
«Яндекс» вместе с чиновниками придумал новую структуру управления компанией,technology
Рост интернета вещей не оправдал ожиданий,technology
Главным редактором телеканала «Дождь» назначен Тихон Дзядко,technology
Интернет-пираты потеряли четверть российского рынка,technology
Росгвардия купила российский офисный софт на 60 млн рублей,technology
Telegram переносит срок запуска блокчейн-платформы,technology
Дуров написал письмо инвесторам блокчейн-платформы Telegram,technology
Дуров предложил вернуть инвесторам криптовалюты Gram 77% вложений,technology
Apple разозлила Китай из-за приложения для гонконгцев,technology
Путин и военные,politics
"Путин назвал взятие Авдеевки безусловным успехом, который нужно развивать",politics
Украина сдала Авдеевку – город на территории ДНР,politics
Шойгу доложил Путину о взятии под контроль Авдеевки,politics
Байден приказал начать диалог с Москвой по противоспутниковому оружию,politics
Грудной ребенок погиб в Белгороде после обстрела ВСУ,politics
Какой угрозы от России в космосе могут опасаться США,politics
СКР и прокуратура выступили против сокращения сроков рассмотрения жалоб военных,politics
Зеленский признался в желании уволить главкома ВСУ,politics
Служба безопасности Грузии задержала шедший в Россию груз взрывчатки,politics
ВСУ обстреляли пекарню в Лисичанске,politics
Минэнерго хочет полностью запретить полеты над объектами ТЭКа,politics
Что сказал Владимир Путин о крушении Ил-76 в Белгородской области,politics
Путин в Петербурге встретился со студентами – участниками спецоперации,politics
Крушение Ил-76 поставило под вопрос обмен военнопленными,politics
Как выглядит место крушения Ил-76 в Белгородской области,politics
Минобороны подтвердило крушение самолета Ил-76 в Белгородской области,politics
Гладков сообщил о «происшествии» в Белгородской области,politics
США и Британия нанесли авиаудары по объектам хуситов в Йемене,politics
Медведев не исключил ядерный ответ на использование западных ракет Украиной,politics
КНДР выпустила 200 снарядов в район южнокорейских островов Пэннендо и Енпхендо,politics
Путин разрешил давать гражданство служащим в российской армии иностранцам,politics
Из украинского плена возвращены 248 российских военных,politics
«Контрнаступ» провалился,politics
Владимир Путин поблагодарил ОПК за помощь армии,politics
Проект создания американской стратегической ракеты под угрозой отмены,politics
Почему Путин отвергает необходимость еще одной частичной мобилизации,politics
Проиранские хуситы мешают проходу судов через Красное море в Израиль,politics
Путин разрешил поднять флаги на атомных подводных крейсерах в Северодвинске,politics
Минцифры может расширить категории IТ-специальностей для отсрочки от армии,politics
Зачем Финляндия закупает израильскую систему ПРО,politics
Президент расширил полномочия и штат ФСТЭК,politics
Заместитель Си Цзиньпина по военной линии встретился с Владимиром Путиным,politics
Российские МиГ-31 начнут патрулировать Черное море,politics
Росгвардия создаст базу данных для контроля за оборотом оружия,politics
Парламентарии разбираются с обращениями мобилизованных,politics
Что сказал Шойгу на коллегии Минобороны по наращиванию боевой мощи. Главное,politics
Росгвардии разрешат иметь собственные добровольческие отряды,politics
Индия импортозамещает военное кораблестроение,politics
США одобрили продажу Германии израильских систем противоракетной обороны Arrow-3,politics
"Правительство уточняет список погребальных услуг, гарантированных ветеранам и участникам боевых действий",politics
Суд не принял дела о хищениях на стройке центра беспилотной авиации,politics
Министр обороны Китая начал визит в Россию и Белоруссию,politics
Десантники в российской политике,politics
Владимир Путин принял главный военно-морской парад в Санкт-Петербурге,politics
Сергей Шойгу впервые посещает КНДР в связи с годовщиной окончания войны в Корее,politics
Военная приемка понесет ответственность за срыв гособоронзаказа,politics
«Мы с вами поздоровались за руку – и вас уже можно найти»,politics
Участников миротворческой миссии в Нагорном Карабахе попросят признать ветеранами боевых действий,politics
Украина угрожает морской блокадой РФ в ответ на российскую блокаду,politics
Минобороны России объявило о фактической блокаде украинских портов,politics
ФБР и республиканская партия США вступили в конфликт,politics
"Украина второй раз за год совершила атаку на Крымский мост, в результате которой погибли люди",politics
Спецназ МВД передают Росгвардии,politics
В правительстве поддержали право силовиков редактировать базы данных отдельных категорий граждан,politics
Фактические поставки тяжелого оружия Украине в два раза ниже обещанных,politics
Непредоставление отдыха солдатам будет считаться грубым дисциплинарным проступком,politics
Китай и Россия проведут совместные военно-морские учения около Шанхая,politics
Силовые ведомства прорабатывают вопрос о переподчинении полицейского спецназа «Гром» Росгвардии,politics
Поддержка «Вагнера» оказалась дорогостоящей,politics
Оставшихся в ЧВК «Вагнер» бойцов не отправят в зону украинской спецоперации,politics
Мобилизованного приговорили к рекордному сроку за самовольное оставление части,politics
Виктор Золотов анонсировал получение Росгвардией тяжелых вооружений,politics
Что сказал Путин в обращении по итогам военного мятежа,politics
Чем закончится для «Вагнера» поход на столицу,politics
Владимир Путин назвал мятеж ударом в спину,politics
Правительство поддержало законопроект об упрощенных закупках для Минобороны,politics
Шойгу доложил Путину о ходе спецоперации. Главное,politics
"Госдума приняла закон об освобождении от уголовного наказания тех, кто поступил на военную службу",politics
